Block,Plate_number,Bacterial_strain,C.elegans_strain,Date_time_picked,Date_time_counted,Worms_ON,Worms_OFF,N_dead_worms,N_burrowed,Excl_from_sub20
5,11,OP50,JT11398,2/17/22 14:29,2/18/22 13:56,20,0,,,0
5,12,Db10,JT11398,2/17/22 14:30,2/18/22 9:26,3,15,,,0
5,12,Db10,JT11398,2/17/22 14:30,2/18/22 14:00,1,14,,,0
5,13,OP50,CX11314,2/17/22 14:45,2/18/22 9:29,18,2,,,0
5,13,OP50,CX11314,2/17/22 14:45,2/18/22 14:04,17,3,,,0
5,14,Db10,CX11314,2/17/22 14:46,2/18/22 9:37,6,11,,,0
5,14,Db10,CX11314,2/17/22 14:46,2/18/22 14:09,0,15,,,0
5,15,Db10,CX11314,2/17/22 14:54,2/18/22 9:43,2,15,,,0
5,15,Db10,CX11314,2/17/22 14:54,2/18/22 14:12,1,17,,,0
5,16,OP50,JT11398,2/17/22 15:04,2/18/22 9:50,20,0,,,0
5,16,OP50,JT11398,2/17/22 15:04,2/18/22 14:17,20,0,,,0
5,17,OP50,CX11314,2/17/22 15:05,2/18/22 9:55,19,1,,,1
5,17,OP50,CX11314,2/17/22 15:05,2/18/22 14:25,16,1,,,1
5,18,OP50,CX11314,2/17/22 15:15,2/18/22 10:01,17,1,,,2
5,18,OP50,CX11314,2/17/22 15:15,2/18/22 14:32,16,0,,,2
5,19,Db10,N2,2/17/22 15:17,2/18/22 10:05,5,15,,,0
5,19,Db10,N2,2/17/22 15:17,2/18/22 14:37,1,19,,,0
5,20,OP50,CX11314,2/17/22 15:23,2/18/22 10:10,19,2,,,-1
5,20,OP50,CX11314,2/17/22 15:23,2/18/22 14:40,21,0,,,-1
5,21,Db10,N2,2/17/22 15:25,2/18/22 10:16,0,19,,,0
5,21,Db10,N2,2/17/22 15:25,2/18/22 14:43,0,20,,,0
5,22,Db10,JT11398,2/17/22 15:33,2/18/22 10:23,0,17,,,0
5,22,Db10,JT11398,2/17/22 15:33,2/18/22 14:48,0,18,,,0
5,23,OP50,N2,2/17/22 15:38,2/18/22 10:26,17,3,,,0
5,23,OP50,N2,2/17/22 15:38,2/18/22 14:52,19,1,,,0
5,24,OP50,JT11398,2/17/22 15:39,2/18/22 10:29,10,0,,10,0
5,24,OP50,JT11398,2/17/22 15:39,2/18/22 14:57,5,0,,15,0
5,25,Db10,CX11314,2/17/22 15:46,2/18/22 10:36,3,16,,,0
5,25,Db10,CX11314,2/17/22 15:46,2/18/22 15:03,1,18,,,0
5,26,OP50,JT11398,2/17/22 15:53,2/18/22 10:39,19,0,,,0
5,26,OP50,JT11398,2/17/22 15:53,2/18/22 15:08,19,0,,,0
5,27,Db10,CX11314,2/17/22 16:09,2/18/22 10:45,4,16,,,0
5,27,Db10,CX11314,2/17/22 16:09,2/18/22 15:13,0,19,,,0
5,28,Db10,CX11314,2/17/22 16:11,2/18/22 10:54,6,12,,,0
5,28,Db10,CX11314,2/17/22 16:11,2/18/22 15:19,1,19,,,0
5,29,OP50,JT11398,2/17/22 16:22,2/18/22 10:56,20,0,,,0
5,29,OP50,JT11398,2/17/22 16:22,2/18/22 15:23,20,0,,,0
5,30,OP50,N2,2/17/22 16:31,2/18/22 10:58,19,1,,,0
5,30,OP50,N2,2/17/22 16:31,2/18/22 15:25,16,4,,,0
6,1,Db10,DL238,3/9/22 12:58,3/10/22 8:43,2,15,,,0
6,1,Db10,DL238,3/9/22 12:58,3/10/22 13:15,2,15,,,0
6,2,OP50,N2,3/9/22 13:31,3/10/22 8:46,20,0,,,0
6,2,OP50,N2,3/9/22 13:31,3/10/22 13:17,20,0,,,0
6,3,Db10,DL238,3/9/22 13:33,3/10/22 8:53,1,19,,,0
6,3,Db10,DL238,3/9/22 13:33,3/10/22 13:27,1,17,,,0
6,4,OP50,MY16,3/9/22 13:40,3/10/22 9:00,17,0,,,3
6,4,OP50,MY16,3/9/22 13:40,3/10/22 13:31,16,1,,,3
6,5,OP50,MY16,3/9/22 13:49,3/10/22 9:04,20,0,,,0
6,5,OP50,MY16,3/9/22 13:49,3/10/22 13:34,19,0,,,0
6,6,OP50,DL238,3/9/22 13:54,3/10/22 9:09,20,0,,,0
6,6,OP50,DL238,3/9/22 13:54,3/10/22 13:36,20,0,,,0
6,7,Db10,N2,3/9/22 13:56,3/10/22 9:13,6,14,,,0
6,7,Db10,N2,3/9/22 13:56,3/10/22 13:41,3,17,,,0
6,8,OP50,DL238,3/9/22 14:05,3/10/22 9:17,17,0,,,2
6,8,OP50,DL238,3/9/22 14:05,3/10/22 13:46,15,1,,,2
6,9,Db10,MY16,3/9/22 14:11,3/10/22 9:22,2,12,,,0
6,9,Db10,MY16,3/9/22 14:11,3/10/22 13:41,0,15,,,0
6,10,Db10,DL238,3/9/22 14:15,3/10/22 9:29,3,13,,,0
6,10,Db10,DL238,3/9/22 14:15,3/10/22 13:56,0,15,,,0
6,11,Db10,MY16,3/9/22 14:29,3/10/22 9:34,0,15,,,1
6,11,Db10,MY16,3/9/22 14:29,3/10/22 13:57,1,16,,,1
6,12,OP50,DL238,3/9/22 14:31,3/10/22 9:37,19,0,,,0
6,12,OP50,DL238,3/9/22 14:31,3/10/22 14:04,19,0,,,0
6,13,Db10,N2,3/9/22 14:33,3/10/22 9:41,5,15,,,0
6,13,Db10,N2,3/9/22 14:33,3/10/22 14:07,3,17,,,0
6,14,OP50,DL238,3/9/22 14:40,3/10/22 9:44,20,0,,,0
6,14,OP50,DL238,3/9/22 14:40,3/10/22 14:09,20,0,,,0
6,15,Db10,MY16,3/9/22 14:53,3/10/22 9:52,1,4,,,0
6,15,Db10,MY16,3/9/22 14:53,3/10/22 14:12,0,4,,,0
6,16,Db10,MY16,3/9/22 14:55,3/10/22 9:58,2,14,,,0
6,16,Db10,MY16,3/9/22 14:55,3/10/22 14:16,2,14,,,0
6,17,Db10,MY16,3/9/22 14:58,3/10/22 10:03,0,10,,,0
6,17,Db10,MY16,3/9/22 14:58,3/10/22 14:20,0,11,,,0
6,18,OP50,MY16,3/9/22 15:00,3/10/22 10:06,20,0,,,0
